SEASON,TEAMID,SCORE_MEAN,SCORE_MEDIAN,SCORE_STDDEV,FGM_MEAN,FGM_MEDIAN,FGM_STDDEV,FGA_MEAN,FGA_MEDIAN,FGA_STDDEV,FGM3_MEAN,FGM3_MEDIAN,FGM3_STDDEV,FGA3_MEAN,FGA3_MEDIAN,FGA3_STDDEV,FTM_MEAN,FTM_MEDIAN,FTM_STDDEV,FTA_MEAN,FTA_MEDIAN,FTA_STDDEV,OR_MEAN,OR_MEDIAN,OR_STDDEV,DR_MEAN,DR_MEDIAN,DR_STDDEV,AST_MEAN,AST_MEDIAN,AST_STDDEV,TO_MEAN,TO_MEDIAN,TO_STDDEV,STL_MEAN,STL_MEDIAN,STL_STDDEV,BLK_MEAN,BLK_MEDIAN,BLK_STDDEV,PF_MEAN,PF_MEDIAN,PF_STDDEV,WLOCA,WLOCH,WLOCN,WINMARGINMEDIAN,WINMARGINMEAN,LOSEMARGINMEDIAN,LOSEMARGINMEAN,WON_CONFERENCE,TOTAL_WINS,CONF_ACC,CONF_AEC,CONF_A_SUN,CONF_A_TEN,CONF_BIG_EAST,CONF_BIG_SKY,CONF_BIG_SOUTH,CONF_BIG_TEN,CONF_BIG_TWELVE,CONF_BIG_WEST,CONF_CAA,CONF_CUSA,CONF_GWC,CONF_HORIZON,CONF_IND,CONF_IVY,CONF_MAAC,CONF_MAC,CONF_MEAC,CONF_MVC,CONF_MWC,CONF_NEC,CONF_OVC,CONF_PAC_TEN,CONF_PAC_TWELVE,CONF_PATRIOT,CONF_SEC,CONF_SOUTHERN,CONF_SOUTHLAND,CONF_SUMMIT,CONF_SUN_BELT,CONF_SWAC,CONF_WAC,CONF_WCC
2010,3102,51.82142857142857,48.0,10.324561048614168,19.142857142857142,19.0,4.0066082979135915,53.142857142857146,53.0,5.261419930260242,4.571428571428571,5.0,2.5448360411214073,16.071428571428573,17.0,5.227623009364995,8.964285714285714,8.0,4.686324808593639,13.214285714285714,12.0,6.914060514938584,12.464285714285714,12.0,3.6360554823736497,19.535714285714285,21.0,4.947742791431132,10.25,9.0,4.0971986816649535,17.714285714285715,17.0,6.223355905792206,6.035714285714286,6.0,2.63146407435161,0.6428571428571429,0.0,0.8698354767504926,14.964285714285714,14.0,4.977595305612442,0.0,1.0,0.0,20.0,20.0,20.0,21.444444444444443,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,3103,62.233333333333334,63.0,9.339140229693799,22.233333333333334,23.0,4.215597747391951,55.266666666666666,54.5,8.423830455335024,3.933333333333333,4.0,2.242740523883952,12.466666666666667,12.0,5.62465835488658,13.833333333333334,13.5,4.363511187685608,19.6,20.5,4.910228592192649,14.2,13.0,5.460832322565161,23.566666666666666,24.5,4.739295257760365,13.433333333333334,13.0,4.1496433858688455,18.266666666666666,18.0,3.5030364496842012,8.033333333333333,8.0,2.8343135559308417,2.4,2.0,1.8495106528950878,17.533333333333335,17.0,3.6740781938756606,5.0,11.0,1.0,12.0,13.176470588235293,10.0,11.23076923076923,0.0,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,3104,64.13793103448276,66.0,13.092320917051865,24.724137931034484,24.0,5.013528496009131,62.10344827586207,61.0,8.333858768328353,4.344827586206897,4.0,1.5873576892110792,14.724137931034482,13.0,4.30860063232449,10.344827586206897,10.0,4.5691188746453495,16.79310344827586,16.0,6.991726285632324,14.482758620689655,14.0,4.5246995926736275,25.93103448275862,25.0,5.669032636568851,13.10344827586207,13.0,4.670154689899063,19.17241379310345,18.0,4.512434926457914,7.379310344827586,7.0,2.2899437470234982,2.9310344827586206,3.0,1.6675695419801542,20.413793103448278,21.0,5.454468950053122,4.0,6.0,1.0,11.0,15.363636363636363,9.0,14.0,0.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2010,3105,60.77777777777778,59.0,9.597008080780395,20.37037037037037,20.0,3.509855882951367,50.851851851851855,50.0,8.424797206889194,3.037037037037037,3.0,1.764641638962459,9.88888888888889,10.0,3.129675988800086,17.0,15.0,6.312380996593429,24.333333333333332,21.0,8.004806248556118,13.666666666666666,13.0,5.114083119567589,23.37037037037037,23.0,4.939231862953125,9.74074074074074,10.0,3.5037627311724853,25.037037037037038,26.0,4.775590833212975,8.777777777777779,9.0,2.926448797451027,5.148148148148148,6.0,2.837980101080882,19.14814814814815,20.0,4.035455399939427,6.0,7.0,1.0,7.0,7.357142857142857,14.0,16.153846153846153,0.0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2010,3106,55.13793103448276,55.0,9.413987078244775,18.448275862068964,19.0,3.5815619786479402,53.0,53.0,6.803360514166089,2.689655172413793,3.0,1.6058697749164306,9.586206896551724,10.0,4.263778014351242,15.551724137931034,15.0,6.695340634119862,24.0,23.0,9.565563234854496,15.0,15.0,4.713203338949606,24.75862068965517,24.0,4.067775562829967,11.482758620689655,12.0,3.32330181827794,20.103448275862068,20.0,5.83306356401779,8.03448275862069,8.0,2.7578816744104997,4.482758620689655,4.0,2.5997347344787265,22.06896551724138,21.0,4.689890605507299,3.0,7.0,2.0,6.5,8.5,9.0,9.882352941176471,0.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2010,3107,56.4,58.5,11.409614820178092,19.866666666666667,20.0,4.150058855696764,59.53333333333333,58.5,6.652628898741296,4.533333333333333,5.0,2.750966392370874,15.6,14.0,5.000689607616548,12.133333333333333,12.0,5.302786081852167,19.3,19.5,7.799867372877744,14.566666666666666,13.5,4.959722832448668,24.066666666666666,24.5,4.741113890167608,9.433333333333334,9.0,3.654787444485358,16.9,16.5,4.880291116246073,9.4,10.0,2.685850536319599,3.0,3.0,2.0844250013389534,16.2,15.0,3.3569279880928904,4.0,7.0,0.0,7.0,9.818181818181818,10.0,14.210526315789474,0.0,11.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,3108,60.357142857142854,60.5,10.548702871686748,20.75,19.0,4.419024527854283,60.714285714285715,61.0,8.62321218339131,4.321428571428571,4.0,2.5539159681725576,14.535714285714286,14.0,4.246847570341356,14.535714285714286,14.0,6.262659137371239,23.071428571428573,21.0,8.9024697839402,14.714285714285714,14.5,4.689287578024832,18.964285714285715,19.0,4.27293066968521,10.571428571428571,10.0,4.2811262919986754,20.535714285714285,21.0,4.622666721606438,11.464285714285714,11.5,4.442906479931576,1.1071428571428572,1.0,1.5477411429249548,22.857142857142858,22.5,4.205061198429779,1.0,7.0,0.0,10.0,10.125,15.0,17.95,0.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2010,3110,60.42857142857143,62.0,11.517688260112912,21.571428571428573,21.0,4.749436056748513,53.904761904761905,55.0,5.83013517771897,4.666666666666667,5.0,2.105548226313834,15.285714285714286,15.0,4.149010208987888,12.619047619047619,12.0,6.208672889403906,16.80952380952381,16.0,7.626395266566294,12.904761904761905,12.0,3.8717536324611608,23.19047619047619,23.0,3.842122429322726,11.476190476190476,11.0,3.6141257258021287,15.19047619047619,14.0,4.864350394647241,7.9523809523809526,8.0,3.138091625115342,3.9047619047619047,4.0,2.211442106516965,14.571428571428571,15.0,3.009508740167215,7.0,3.0,3.0,17.0,16.23076923076923,8.5,10.5,0.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2010,3111,66.41935483870968,67.0,9.625570783243232,25.774193548387096,26.0,3.353701213280186,59.483870967741936,59.0,6.526208535548214,4.290322580645161,4.0,2.326564683348918,12.387096774193548,12.0,4.055263405787912,10.580645161290322,12.0,5.245786839921393,16.612903225806452,17.0,7.342467429753382,14.516129032258064,15.0,5.353322754713099,27.419354838709676,26.0,5.572397410740355,15.935483870967742,15.0,4.471655054309442,21.225806451612904,22.0,5.6669196654464455,9.935483870967742,9.0,3.687234590412059,6.516129032258065,6.0,3.2951577376703884,20.032258064516128,20.0,3.7725665089586067,9.0,9.0,1.0,11.0,11.263157894736842,9.5,11.166666666666666,0.0,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2010,3112,65.41935483870968,62.0,15.918069802477907,23.903225806451612,23.0,5.895505851690066,56.935483870967744,57.0,7.3798621661517405,4.870967741935484,4.0,2.140746528415901,15.67741935483871,16.0,3.370332295923687,12.741935483870968,14.0,5.118383481370421,18.64516129032258,18.0,6.671073812097391,12.03225806451613,13.0,4.246440634757082,26.258064516129032,26.0,5.278685075758192,12.0,12.0,4.633213427705082,18.225806451612904,19.0,3.870483840722026,7.32258064516129,6.0,3.145230217055592,2.967741935483871,2.0,2.4424560175875145,15.516129032258064,15.0,4.040387504039147,4.0,8.0,2.0,8.0,14.142857142857142,12.0,13.647058823529411,0.0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
